,pressure,atom_s,atom_p,atom_d,atom_f,ionization_energy,mass,en,row,pseudo_row,group,atomic_number,PNAS_en,element
271,500,2,0,0,12,6.1077,167.25900000000001,1.24,6,8,14,68,-6.5,Er
272,0,2,0,0,13,6.1843,168.93421,1.25,6,8,15,69,0.01,Tm
273,50,2,0,0,13,6.1843,168.93421,1.25,6,8,15,69,-5.7,Tm
274,200,2,0,0,13,6.1843,168.93421,1.25,6,8,15,69,-6.39,Tm
275,500,2,0,0,13,6.1843,168.93421,1.25,6,8,15,69,-6.47,Tm
276,0,2,0,0,14,6.2542,173.04,1.1,6,8,16,70,-0.19,Yb
277,50,2,0,0,14,6.2542,173.04,1.1,6,8,16,70,-5.71,Yb
278,200,2,0,0,14,6.2542,173.04,1.1,6,8,16,70,-6.38,Yb
279,500,2,0,0,14,6.2542,173.04,1.1,6,8,16,70,-6.43,Yb
280,0,2,0,1,14,5.4259,174.967,1.27,6,8,17,71,-0.24,Lu
281,50,2,0,1,14,5.4259,174.967,1.27,6,8,17,71,-5.8,Lu
282,200,2,0,1,14,5.4259,174.967,1.27,6,8,17,71,-6.51,Lu
283,500,2,0,1,14,5.4259,174.967,1.27,6,8,17,71,-6.42,Lu
284,0,2,0,2,14,6.8251,178.49,1.3,6,6,4,72,0.37,Hf
285,50,2,0,2,0,6.8251,178.49,1.3,6,6,4,72,-4.78,Hf
286,200,2,0,2,0,6.8251,178.49,1.3,6,6,4,72,-5.71,Hf
287,500,2,0,2,0,6.8251,178.49,1.3,6,6,4,72,-6.23,Hf
288,0,2,0,3,0,7.5496,180.94788,1.5,6,6,5,73,1.14,Ta
289,50,2,0,3,0,7.5496,180.94788,1.5,6,6,5,73,-3.83,Ta
290,200,2,0,3,0,7.5496,180.94788,1.5,6,6,5,73,-5.56,Ta
291,500,2,0,3,0,7.5496,180.94788,1.5,6,6,5,73,-6.0,Ta
292,0,2,0,4,0,7.864,183.84,2.36,6,6,6,74,1.62,W
293,50,2,0,4,0,7.864,183.84,2.36,6,6,6,74,-3.88,W
294,200,2,0,4,0,7.864,183.84,2.36,6,6,6,74,-4.75,W
295,500,2,0,4,0,7.864,183.84,2.36,6,6,6,74,-5.21,W
296,0,2,0,5,0,7.8335,186.207,1.9,6,6,7,75,1.07,Re
