,minerals,,
402,(Mg0.5Fe0.5)3(PO4)2(H2O)8,,
403,Ag3Pb10(Sb8As11)S40,,
404,BaFe12O19,,
405,Na(Na0.33Sr0.33Ce0.33)2Ba(PO4)2,,
406,Ba4Fe2Ti2O2(SiO3)8(H2O),,
407,BaTiO3,,
408,Ba0.5Al4(AsO4)3(OH)4(H2O)4,,
409,Ba0.5Fe4(AsO4)3(OH)4(H2O)5,,
410,Ba(VO)2(PO4)2(H2O)4,,
411,Cu4BrF(OH)6,,
412,Na2V6O16(H2O)3,,
413,Cu2(Cd0.5Fe0.5)GeS4,,
414,Na2(Si7Al2)O18(H2O)6,,
415,(Fe0.5Ni0.5)2P,,
416,(NaCa)(Mg3Al2)(Si7Al)O22(OH)2,,
417,Cu9Al(H(SiO4))2(SO4)(HAsO4)0.5(OH)12(H2O)8,,
418,Na1.5Y0.5CaSi3O9H,,
419,Pb4(CO3)Cl6(H2O),,
420,PbFeGe(Ge2O7)(OH)2(H2O),,
421,K6Fe20S26S,,
422,Mn6(Nb0.5)2(SiO4)2(O0.5(OH)0.5)6,,
423,BaBe2Si2O7,,
424,Pb8Mn(Si2O7)3,,
425,Ba(SO4),,
426,BaCa(CO3)2,,
427,(BaK)Ti2Na3Ti(Si2O7)2O2(OH)2,,
428,Ca(SO4)(H2O)0.5,,
429,Fe(UO2)2(PO4)2(H2O)10,,
430,SrV3O7(H2O)4,,
431,Ce(CO3)F,,
432,La(CO3)F,,
433,Nd(CO3)F,,
434,Y(CO3)F,,
435,CaZn2(Zn0.5Cu0.5)6(PO4)4P3O9.0(OH)3(H2O)12,,
436,Ca2Y2(H2O)2Ti(Si2O7)2(OH)2(H2O)2,,
437,BaTi2Fe8Fe2O19,,
438,Na2BaTi2O2(Si2O6)2,,
439,BaTi6(V0.5Cr0.5)8(Si2O7)O22,,
440,Pb12As16S36,,
441,Pb3As4S9,,
442,Ba0.5(UO2)3O8Mo2(OH)3(H2O)3,,
443,Ag3Sb3S6,,
444,Ba(UO2)2(OH)6(H2O)1.5,,
445,Ca4Be2.5Al1.5Si9O25.5(OH)2.5,,
446,Ba2V2O2Si4O12,,
447,Al(OH)3,,
448,Cu3PbO(AsO3(OH))2(OH)2,,
449,Mg2(UO2)(CO3)3(H2O)18,,
